pclass,survived,sex,age,sibsp,parch,fare,embarked
1,yes,female,29.0,0,0,211.3375,S
1,yes,male,0.9167,1,2,151.55,S
1,no,female,2.0,1,2,151.55,S
1,no,male,30.0,1,2,151.55,S
1,no,female,25.0,1,2,151.55,S
1,yes,male,48.0,0,0,26.55,S
1,yes,female,63.0,1,0,77.9583,S
1,no,male,39.0,0,0,0.0,S
1,yes,female,53.0,2,0,51.4792,S
1,no,male,71.0,0,0,49.5042,C
1,no,male,47.0,1,0,227.525,C
1,yes,female,18.0,1,0,227.525,C
1,yes,female,24.0,0,0,69.3,C
1,yes,female,26.0,0,0,78.85,S
1,yes,male,80.0,0,0,30.0,S
1,no,male,,0,0,25.925,S
1,no,male,24.0,0,1,247.5208,C
1,yes,female,50.0,0,1,247.5208,C
1,yes,female,32.0,0,0,76.2917,C
1,no,male,36.0,0,0,75.2417,C
1,yes,male,37.0,1,1,52.5542,S
1,yes,female,47.0,1,1,52.5542,S
1,yes,male,26.0,0,0,30.0,C
1,yes,female,42.0,0,0,227.525,C
1,yes,female,29.0,0,0,221.7792,S
1,no,male,25.0,0,0,26.0,C
1,yes,male,25.0,1,0,91.0792,C
1,yes,female,19.0,1,0,91.0792,C
1,yes,female,35.0,0,0,135.6333,S
1,yes,male,28.0,0,0,26.55,S
1,no,male,45.0,0,0,35.5,S
1,yes,male,40.0,0,0,31.0,C
1,yes,female,30.0,0,0,164.8667,S
1,yes,female,58.0,0,0,26.55,S
1,no,male,42.0,0,0,26.55,S
1,yes,female,45.0,0,0,262.375,C
1,yes,female,22.0,0,1,55.0,S
1,yes,male,,0,0,26.55,S
1,no,male,41.0,0,0,30.5,S
1,no,male,48.0,0,0,50.4958,C
1,no,male,,0,0,39.6,C
1,yes,female,44.0,0,0,27.7208,C
1,yes,female,59.0,2,0,51.4792,S
1,yes,female,60.0,0,0,76.2917,C
1,yes,female,41.0,0,0,134.5,C
1,no,male,45.0,0,0,26.55,S
1,no,male,,0,0,31.0,S
1,yes,male,42.0,0,0,26.2875,S
1,yes,female,53.0,0,0,27.4458,C
1,yes,male,36.0,0,1,512.3292,C
1,yes,female,58.0,0,1,512.3292,C
1,no,male,33.0,0,0,5.0,S
1,no,male,28.0,0,0,47.1,S
1,no,male,17.0,0,0,47.1,S
1,yes,male,11.0,1,2,120.0,S
1,yes,female,14.0,1,2,120.0,S
1,yes,male,36.0,1,2,120.0,S
1,yes,female,36.0,1,2,120.0,S
1,no,male,49.0,0,0,26.0,S
1,yes,female,,0,0,27.7208,C
1,no,male,36.0,1,0,78.85,S
1,yes,female,76.0,1,0,78.85,S
1,no,male,46.0,1,0,61.175,S
1,yes,female,47.0,1,0,61.175,S
1,yes,male,27.0,1,0,53.1,S
1,yes,female,33.0,1,0,53.1,S
1,yes,female,36.0,0,0,262.375,C
1,yes,female,30.0,0,0,86.5,S
1,yes,male,45.0,0,0,29.7,C
1,yes,female,,0,1,55.0,S
1,no,male,,0,0,0.0,S
1,no,male,27.0,1,0,136.7792,C
1,yes,female,26.0,1,0,136.7792,C
1,yes,female,22.0,0,0,151.55,S
1,no,male,,0,0,52.0,S
1,no,male,47.0,0,0,25.5875,S
1,yes,female,39.0,1,1,83.1583,C
1,no,male,37.0,1,1,83.1583,C
1,yes,female,64.0,0,2,83.1583,C
1,yes,female,55.0,2,0,25.7,S
1,no,male,,0,0,26.55,S
1,no,male,70.0,1,1,71.0,S
1,yes,female,36.0,0,2,71.0,S
1,yes,female,64.0,1,1,26.55,S
1,no,male,39.0,1,0,71.2833,C
1,yes,female,38.0,1,0,71.2833,C
1,yes,male,51.0,0,0,26.55,S
1,yes,male,27.0,0,0,30.5,S
1,yes,female,33.0,0,0,151.55,S
1,no,male,31.0,1,0,52.0,S
1,yes,female,27.0,1,2,52.0,S
1,yes,male,31.0,1,0,57.0,S
1,yes,female,17.0,1,0,57.0,S
1,yes,male,53.0,1,1,81.8583,S
1,yes,male,4.0,0,2,81.8583,S
1,yes,female,54.0,1,1,81.8583,S
1,no,male,50.0,1,0,106.425,C
1,yes,female,27.0,1,1,247.5208,C
1,yes,female,48.0,1,0,106.425,C
1,yes,female,48.0,1,0,39.6,C
1,yes,male,49.0,1,0,56.9292,C
1,no,male,39.0,0,0,29.7,C
1,yes,female,23.0,0,1,83.1583,C
1,yes,female,38.0,0,0,227.525,C
1,yes,female,54.0,1,0,78.2667,C
1,no,female,36.0,0,0,31.6792,C
1,no,male,,0,0,221.7792,S
1,yes,female,,0,0,31.6833,S
1,yes,female,,0,0,110.8833,C
1,yes,male,36.0,0,0,26.3875,S
1,no,male,30.0,0,0,27.75,C
1,yes,female,24.0,3,2,263.0,S
1,yes,female,28.0,3,2,263.0,S
1,yes,female,23.0,3,2,263.0,S
1,no,male,19.0,3,2,263.0,S
1,no,male,64.0,1,4,263.0,S
1,yes,female,60.0,1,4,263.0,S
1,yes,female,30.0,0,0,56.9292,C
1,no,male,,0,0,26.55,S
1,yes,male,50.0,2,0,133.65,S
1,yes,male,43.0,1,0,27.7208,C
1,yes,female,,1,0,133.65,S
1,yes,female,22.0,0,2,49.5,C
1,yes,male,60.0,1,1,79.2,C
1,yes,female,48.0,1,1,79.2,C
1,no,male,,0,0,0.0,S
1,no,male,37.0,1,0,53.1,S
1,yes,female,35.0,1,0,53.1,S
1,no,male,47.0,0,0,38.5,S
1,yes,female,35.0,0,0,211.5,C
1,yes,female,22.0,0,1,59.4,C
1,yes,female,45.0,0,1,59.4,C
1,no,male,24.0,0,0,79.2,C
1,yes,male,49.0,1,0,89.1042,C
1,yes,female,,1,0,89.1042,C
1,no,male,71.0,0,0,34.6542,C
1,yes,male,53.0,0,0,28.5,C
1,yes,female,19.0,0,0,30.0,S
1,no,male,38.0,0,1,153.4625,S
1,yes,female,58.0,0,1,153.4625,S
1,yes,male,23.0,0,1,63.3583,C
1,yes,female,45.0,0,1,63.3583,C
1,no,male,46.0,0,0,79.2,C
1,yes,male,25.0,1,0,55.4417,C
1,yes,female,25.0,1,0,55.4417,C
1,yes,male,48.0,1,0,76.7292,C
1,yes,female,49.0,1,0,76.7292,C
1,no,male,,0,0,42.4,S
1,no,male,45.0,1,0,83.475,S
1,yes,female,35.0,1,0,83.475,S
1,no,male,40.0,0,0,0.0,S
1,yes,male,27.0,0,0,76.7292,C
1,yes,male,,0,0,30.0,S
1,yes,female,24.0,0,0,83.1583,C
1,no,male,55.0,1,1,93.5,S
1,yes,female,52.0,1,1,93.5,S
1,no,male,42.0,0,0,42.5,S
1,no,male,,0,0,51.8625,S
1,no,male,55.0,0,0,50.0,S
1,yes,female,16.0,0,1,57.9792,C
1,yes,female,44.0,0,1,57.9792,C
1,yes,female,51.0,1,0,77.9583,S
1,no,male,42.0,1,0,52.0,S
1,yes,female,35.0,1,0,52.0,S
1,yes,male,35.0,0,0,26.55,C
1,yes,male,38.0,1,0,90.0,S
1,no,male,,0,0,30.6958,C
1,yes,female,35.0,1,0,90.0,S
1,yes,female,38.0,0,0,80.0,
1,no,female,50.0,0,0,28.7125,C
1,yes,male,49.0,0,0,0.0,S
1,no,male,46.0,0,0,26.0,S
1,no,male,50.0,0,0,26.0,S
1,no,male,32.5,0,0,211.5,C
1,no,male,58.0,0,0,29.7,C
1,no,male,41.0,1,0,51.8625,S
1,yes,female,,1,0,51.8625,S
1,yes,male,42.0,1,0,52.5542,S
1,yes,female,45.0,1,0,52.5542,S
1,no,male,,0,0,26.55,S
1,yes,female,39.0,0,0,211.3375,S
1,yes,female,49.0,0,0,25.9292,S
1,yes,female,30.0,0,0,106.425,C
1,yes,male,35.0,0,0,512.3292,C
1,no,male,,0,0,27.7208,C
1,no,male,42.0,0,0,26.55,S
1,yes,female,55.0,0,0,27.7208,C
1,yes,female,16.0,0,1,39.4,S
1,yes,female,51.0,0,1,39.4,S
1,no,male,29.0,0,0,30.0,S
1,yes,female,21.0,0,0,77.9583,S
1,no,male,30.0,0,0,45.5,S
1,yes,female,58.0,0,0,146.5208,C
1,yes,female,15.0,0,1,211.3375,S
1,no,male,30.0,0,0,26.0,S
1,yes,female,16.0,0,0,86.5,S
1,yes,male,,0,0,29.7,C
1,no,male,19.0,1,0,53.1,S
1,yes,female,18.0,1,0,53.1,S
1,yes,female,24.0,0,0,49.5042,C
1,no,male,46.0,0,0,75.2417,C
1,no,male,54.0,0,0,51.8625,S
1,yes,male,36.0,0,0,26.2875,S
1,no,male,28.0,1,0,82.1708,C
1,yes,female,,1,0,82.1708,C
1,no,male,65.0,0,0,26.55,S
1,no,male,44.0,2,0,90.0,Q
1,yes,female,33.0,1,0,90.0,Q
1,yes,female,37.0,1,0,90.0,Q
1,yes,male,30.0,1,0,57.75,C
1,no,male,55.0,0,0,30.5,S
1,no,male,47.0,0,0,42.4,S
1,no,male,37.0,0,1,29.7,C
1,yes,female,31.0,1,0,113.275,C
1,yes,female,23.0,1,0,113.275,C
1,no,male,58.0,0,2,113.275,C
1,yes,female,19.0,0,2,26.2833,S
1,no,male,64.0,0,0,26.0,S
1,yes,female,39.0,0,0,108.9,C
1,yes,male,,0,0,25.7417,C
1,yes,female,22.0,0,1,61.9792,C
1,no,male,65.0,0,1,61.9792,C
1,no,male,28.5,0,0,27.7208,C
1,no,male,,0,0,0.0,S
1,no,male,45.5,0,0,28.5,S
1,no,male,23.0,0,0,93.5,S
1,no,male,29.0,1,0,66.6,S
1,yes,female,22.0,1,0,66.6,S
1,no,male,18.0,1,0,108.9,C
1,yes,female,17.0,1,0,108.9,C
1,yes,female,30.0,0,0,93.5,S
1,yes,male,52.0,0,0,30.5,S
1,no,male,47.0,0,0,52.0,S
1,yes,female,56.0,0,1,83.1583,C
1,no,male,38.0,0,0,0.0,S
1,yes,male,,0,0,39.6,S
1,no,male,22.0,0,0,135.6333,C
1,no,male,,0,0,227.525,C
1,yes,female,43.0,0,1,211.3375,S
1,no,male,31.0,0,0,50.4958,S
1,yes,male,45.0,0,0,26.55,S
1,no,male,,0,0,50.0,S
1,yes,female,33.0,0,0,27.7208,C
1,no,male,46.0,0,0,79.2,C
1,no,male,36.0,0,0,40.125,C
1,yes,female,33.0,0,0,86.5,S
1,no,male,55.0,1,0,59.4,C
1,yes,female,54.0,1,0,59.4,C
1,no,male,33.0,0,0,26.55,S
1,yes,male,13.0,2,2,262.375,C
1,yes,female,18.0,2,2,262.375,C
1,yes,female,21.0,2,2,262.375,C
1,no,male,61.0,1,3,262.375,C
1,yes,female,48.0,1,3,262.375,C
1,yes,male,,0,0,30.5,S
1,yes,female,24.0,0,0,69.3,C
1,yes,male,,0,0,26.0,S
1,yes,female,35.0,1,0,57.75,C
1,yes,female,30.0,0,0,31.0,C
1,yes,male,34.0,0,0,26.55,S
1,yes,female,40.0,0,0,153.4625,S
1,yes,male,35.0,0,0,26.2875,S
1,no,male,50.0,1,0,55.9,S
1,yes,female,39.0,1,0,55.9,S
1,yes,male,56.0,0,0,35.5,C
1,yes,male,28.0,0,0,35.5,S
1,no,male,56.0,0,0,26.55,S
1,no,male,56.0,0,0,30.6958,C
1,no,male,24.0,1,0,60.0,S
1,no,male,,0,0,26.0,S
1,yes,female,18.0,1,0,60.0,S
1,yes,male,24.0,1,0,82.2667,S
1,yes,female,23.0,1,0,82.2667,S
1,yes,male,6.0,0,2,134.5,C
1,yes,male,45.0,1,1,134.5,C
1,yes,female,40.0,1,1,134.5,C
1,no,male,57.0,1,0,146.5208,C
1,yes,female,,1,0,146.5208,C
1,yes,male,32.0,0,0,30.5,C
1,no,male,62.0,0,0,26.55,S
1,yes,male,54.0,1,0,55.4417,C
1,yes,female,43.0,1,0,55.4417,C
1,yes,female,52.0,1,0,78.2667,C
1,no,male,,0,0,27.7208,C
1,yes,female,62.0,0,0,80.0,
1,no,male,67.0,1,0,221.7792,S
1,no,female,63.0,1,0,221.7792,S
1,no,male,61.0,0,0,32.3208,S
1,yes,female,48.0,0,0,25.9292,S
1,yes,female,18.0,0,2,79.65,S
1,no,male,52.0,1,1,79.65,S
1,yes,female,39.0,1,1,79.65,S
1,yes,male,48.0,1,0,52.0,S
1,yes,female,,1,0,52.0,S
1,no,male,49.0,1,1,110.8833,C
1,yes,male,17.0,0,2,110.8833,C
1,yes,female,39.0,1,1,110.8833,C
1,yes,female,,0,0,79.2,C
1,yes,male,31.0,0,0,28.5375,C
1,no,male,40.0,0,0,27.7208,C
1,no,male,61.0,0,0,33.5,S
1,no,male,47.0,0,0,34.0208,S
1,yes,female,35.0,0,0,512.3292,C
1,no,male,64.0,1,0,75.25,C
1,yes,female,60.0,1,0,75.25,C
1,no,male,60.0,0,0,26.55,S
1,no,male,54.0,0,1,77.2875,S
1,no,male,21.0,0,1,77.2875,S
1,yes,female,55.0,0,0,135.6333,C
1,yes,female,31.0,0,2,164.8667,S
1,no,male,57.0,1,1,164.8667,S
1,yes,female,45.0,1,1,164.8667,S
1,no,male,50.0,1,1,211.5,C
1,no,male,27.0,0,2,211.5,C
1,yes,female,50.0,1,1,211.5,C
1,yes,female,21.0,0,0,26.55,S
1,no,male,51.0,0,1,61.3792,C
1,yes,male,21.0,0,1,61.3792,C
1,no,male,,0,0,35.0,S
1,yes,female,31.0,0,0,134.5,C
1,yes,male,,0,0,35.5,S
1,no,male,62.0,0,0,26.55,S
1,yes,female,36.0,0,0,135.6333,C
2,no,male,30.0,1,0,24.0,C
2,yes,female,28.0,1,0,24.0,C
2,no,male,30.0,0,0,13.0,S
2,no,male,18.0,0,0,11.5,S
2,no,male,25.0,0,0,10.5,S
2,no,male,34.0,1,0,26.0,S
2,yes,female,36.0,1,0,26.0,S
2,no,male,57.0,0,0,13.0,S
2,no,male,18.0,0,0,11.5,S
2,no,male,23.0,0,0,10.5,S
2,yes,female,36.0,0,0,13.0,S
2,no,male,28.0,0,0,10.5,S
2,no,male,51.0,0,0,12.525,S
2,yes,male,32.0,1,0,26.0,S
2,yes,female,19.0,1,0,26.0,S
2,no,male,28.0,0,0,26.0,S
2,yes,male,1.0,2,1,39.0,S
2,yes,female,4.0,2,1,39.0,S
2,yes,female,12.0,2,1,39.0,S
2,yes,female,36.0,0,3,39.0,S
2,yes,male,34.0,0,0,13.0,S
2,yes,female,19.0,0,0,13.0,S
2,no,male,23.0,0,0,13.0,S
2,no,male,26.0,0,0,13.0,S
2,no,male,42.0,0,0,13.0,S
2,no,male,27.0,0,0,13.0,S
2,yes,female,24.0,0,0,13.0,S
2,yes,female,15.0,0,2,39.0,S
2,no,male,60.0,1,1,39.0,S
2,yes,female,40.0,1,1,39.0,S
2,yes,female,20.0,1,0,26.0,S
2,no,male,25.0,1,0,26.0,S
2,yes,female,36.0,0,0,13.0,S
2,no,male,25.0,0,0,13.0,S
2,no,male,42.0,0,0,13.0,S
2,yes,female,42.0,0,0,13.0,S
2,yes,male,0.8333,0,2,29.0,S
2,yes,male,26.0,1,1,29.0,S
2,yes,female,22.0,1,1,29.0,S
2,yes,female,35.0,0,0,21.0,S
2,no,male,,0,0,0.0,S
2,no,male,19.0,0,0,13.0,S
2,no,female,44.0,1,0,26.0,S
2,no,male,54.0,1,0,26.0,S
2,no,male,52.0,0,0,13.5,S
2,no,male,37.0,1,0,26.0,S
2,no,female,29.0,1,0,26.0,S
2,yes,female,25.0,1,1,30.0,S
2,yes,female,45.0,0,2,30.0,S
2,no,male,29.0,1,0,26.0,S
2,yes,female,28.0,1,0,26.0,S
2,no,male,29.0,0,0,10.5,S
2,no,male,28.0,0,0,13.0,S
2,yes,male,24.0,0,0,10.5,S
2,yes,female,8.0,0,2,26.25,S
2,no,male,31.0,1,1,26.25,S
2,yes,female,31.0,1,1,26.25,S
2,yes,female,22.0,0,0,10.5,S
2,no,female,30.0,0,0,13.0,S
2,no,female,,0,0,21.0,S
2,no,male,21.0,0,0,11.5,S
2,no,male,,0,0,0.0,S
2,yes,male,8.0,1,1,36.75,S
2,no,male,18.0,0,0,73.5,S
2,yes,female,48.0,0,2,36.75,S
2,yes,female,28.0,0,0,13.0,S
2,no,male,32.0,0,0,13.0,S
2,no,male,17.0,0,0,73.5,S
2,no,male,29.0,1,0,27.7208,C
2,yes,female,24.0,1,0,27.7208,C
2,no,male,25.0,0,0,31.5,S
2,no,male,18.0,0,0,73.5,S
2,yes,female,18.0,0,1,23.0,S
2,yes,female,34.0,0,1,23.0,S
2,no,male,54.0,0,0,26.0,S
2,yes,male,8.0,0,2,32.5,S
2,no,male,42.0,1,1,32.5,S
2,yes,female,34.0,1,1,32.5,S
2,yes,female,27.0,1,0,13.8583,C
2,yes,female,30.0,1,0,13.8583,C
2,no,male,23.0,0,0,13.0,S
2,no,male,21.0,0,0,13.0,S
2,no,male,18.0,0,0,13.0,S
2,no,male,40.0,1,0,26.0,S
2,yes,female,29.0,1,0,26.0,S
2,no,male,18.0,0,0,10.5,S
2,no,male,36.0,0,0,13.0,S
2,no,male,,0,0,0.0,S
2,no,female,38.0,0,0,13.0,S
2,no,male,35.0,0,0,26.0,S
2,no,male,38.0,1,0,21.0,S
2,no,male,34.0,1,0,21.0,S
2,yes,female,34.0,0,0,13.0,S
2,no,male,16.0,0,0,26.0,S
2,no,male,26.0,0,0,10.5,S
2,no,male,47.0,0,0,10.5,S
2,no,male,21.0,1,0,11.5,S
2,no,male,21.0,1,0,11.5,S
2,no,male,24.0,0,0,13.5,S
2,no,male,24.0,0,0,13.0,S
2,no,male,34.0,0,0,13.0,S
2,no,male,30.0,0,0,13.0,S
2,no,male,52.0,0,0,13.0,S
2,no,male,30.0,0,0,13.0,S
2,yes,male,0.6667,1,1,14.5,S
2,yes,female,24.0,0,2,14.5,S
2,no,male,44.0,0,0,13.0,S
2,yes,female,6.0,0,1,33.0,S
2,no,male,28.0,0,1,33.0,S
2,yes,male,62.0,0,0,10.5,S
2,no,male,30.0,0,0,10.5,S
2,yes,female,7.0,0,2,26.25,S
2,no,male,43.0,1,1,26.25,S
2,yes,female,45.0,1,1,26.25,S
2,yes,female,24.0,1,2,65.0,S
2,yes,female,24.0,1,2,65.0,S
2,no,male,49.0,1,2,65.0,S
2,yes,female,48.0,1,2,65.0,S
2,yes,female,55.0,0,0,16.0,S
2,no,male,24.0,2,0,73.5,S
2,no,male,32.0,2,0,73.5,S
2,no,male,21.0,2,0,73.5,S
2,no,female,18.0,1,1,13.0,S
2,yes,female,20.0,2,1,23.0,S
2,no,male,23.0,2,1,11.5,S
2,no,male,36.0,0,0,13.0,S
2,yes,female,54.0,1,3,23.0,S
2,no,male,50.0,0,0,13.0,S
2,no,male,44.0,1,0,26.0,S
2,yes,female,29.0,1,0,26.0,S
2,no,male,21.0,0,0,73.5,S
2,yes,male,42.0,0,0,13.0,S
2,no,male,63.0,1,0,26.0,S
2,no,female,60.0,1,0,26.0,S
2,no,male,33.0,0,0,12.275,S
2,yes,female,17.0,0,0,10.5,S
2,no,male,42.0,1,0,27.0,S
2,yes,female,24.0,2,1,27.0,S
2,no,male,47.0,0,0,15.0,S
2,no,male,24.0,2,0,31.5,S
2,no,male,22.0,2,0,31.5,S
2,no,male,32.0,0,0,10.5,S
2,yes,female,23.0,0,0,13.7917,C
2,no,male,34.0,1,0,26.0,S
2,yes,female,24.0,1,0,26.0,S
2,no,female,22.0,0,0,21.0,S
2,yes,female,,0,0,12.35,Q
2,no,male,35.0,0,0,12.35,Q
2,yes,female,45.0,0,0,13.5,S
2,no,male,57.0,0,0,12.35,Q
2,no,male,,0,0,0.0,S
2,no,male,31.0,0,0,10.5,S
2,no,female,26.0,1,1,26.0,S
2,no,male,30.0,1,1,26.0,S
2,no,male,,0,0,10.7083,Q
2,yes,female,1.0,1,2,41.5792,C
2,yes,female,3.0,1,2,41.5792,C
2,no,male,25.0,1,2,41.5792,C
2,yes,female,22.0,1,2,41.5792,C
2,yes,female,17.0,0,0,12.0,C
2,yes,female,,0,0,33.0,S
2,yes,female,34.0,0,0,10.5,S
2,no,male,36.0,0,0,12.875,C
2,no,male,24.0,0,0,10.5,S
2,no,male,61.0,0,0,12.35,Q
2,no,male,50.0,1,0,26.0,S
2,yes,female,42.0,1,0,26.0,S
2,no,female,57.0,0,0,10.5,S
2,no,male,,0,0,15.0458,C
2,yes,male,1.0,0,2,37.0042,C
2,no,male,31.0,1,1,37.0042,C
2,yes,female,24.0,1,1,37.0042,C
2,no,male,,0,0,15.5792,C
2,no,male,30.0,0,0,13.0,S
2,no,male,40.0,0,0,16.0,S
2,no,male,32.0,0,0,13.5,S
2,no,male,30.0,0,0,13.0,S
2,no,male,46.0,0,0,26.0,S
2,yes,female,13.0,0,1,19.5,S
2,yes,female,41.0,0,1,19.5,S
2,yes,male,19.0,0,0,10.5,S
2,no,male,39.0,0,0,13.0,S
2,no,male,48.0,0,0,13.0,S
2,no,male,70.0,0,0,10.5,S
2,no,male,27.0,0,0,13.0,S
2,no,male,54.0,0,0,14.0,S
2,no,male,39.0,0,0,26.0,S
2,no,male,16.0,0,0,10.5,S
2,no,male,62.0,0,0,9.6875,Q
2,no,male,32.5,1,0,30.0708,C
2,yes,female,14.0,1,0,30.0708,C
2,yes,male,2.0,1,1,26.0,S
2,yes,male,3.0,1,1,26.0,S
2,no,male,36.5,0,2,26.0,S
2,no,male,26.0,0,0,13.0,S
2,no,male,19.0,1,1,36.75,S
2,no,male,28.0,0,0,13.5,S
2,yes,male,20.0,0,0,13.8625,C
2,yes,female,29.0,0,0,10.5,S
2,no,male,39.0,0,0,13.0,S
2,yes,male,22.0,0,0,10.5,S
2,yes,male,,0,0,13.8625,C
2,no,male,23.0,0,0,10.5,S
2,yes,male,29.0,0,0,13.8583,C
2,no,male,28.0,0,0,10.5,S
2,no,male,,0,0,0.0,S
2,yes,female,50.0,0,1,26.0,S
2,no,male,19.0,0,0,10.5,S
2,no,male,,0,0,15.05,C
2,no,male,41.0,0,0,13.0,S
2,yes,female,21.0,0,1,21.0,S
2,yes,female,19.0,0,0,26.0,S
2,no,male,43.0,0,1,21.0,S
2,yes,female,32.0,0,0,13.0,S
2,no,male,34.0,0,0,13.0,S
2,yes,male,30.0,0,0,12.7375,C
2,no,male,27.0,0,0,15.0333,C
2,yes,female,2.0,1,1,26.0,S
2,yes,female,8.0,1,1,26.0,S
2,yes,female,33.0,0,2,26.0,S
2,no,male,36.0,0,0,10.5,S
2,no,male,34.0,1,0,21.0,S
2,yes,female,30.0,3,0,21.0,S
2,yes,female,28.0,0,0,13.0,S
2,no,male,23.0,0,0,15.0458,C
2,yes,male,0.8333,1,1,18.75,S
2,yes,male,3.0,1,1,18.75,S
2,yes,female,24.0,2,3,18.75,S
2,yes,female,50.0,0,0,10.5,S
2,no,male,19.0,0,0,10.5,S
2,yes,female,21.0,0,0,10.5,S
2,no,male,26.0,0,0,13.0,S
2,no,male,25.0,0,0,13.0,S
2,no,male,27.0,0,0,26.0,S
2,yes,female,25.0,0,1,26.0,S
2,yes,female,18.0,0,2,13.0,S
2,yes,female,20.0,0,0,36.75,S
2,yes,female,30.0,0,0,13.0,S
2,no,male,59.0,0,0,13.5,S
2,yes,female,30.0,0,0,12.35,Q
2,no,male,35.0,0,0,10.5,S
2,yes,female,40.0,0,0,13.0,S
2,no,male,25.0,0,0,13.0,S
2,no,male,41.0,0,0,15.0458,C
2,no,male,25.0,0,0,10.5,S
2,no,male,18.5,0,0,13.0,S
2,no,male,14.0,0,0,65.0,S
2,yes,female,50.0,0,0,10.5,S
2,no,male,23.0,0,0,13.0,S
2,yes,female,28.0,0,0,12.65,S
2,yes,female,27.0,0,0,10.5,S
2,no,male,29.0,1,0,21.0,S
2,no,female,27.0,1,0,21.0,S
2,no,male,40.0,0,0,13.0,S
2,yes,female,31.0,0,0,21.0,S
2,no,male,30.0,1,0,21.0,S
2,no,male,23.0,1,0,10.5,S
2,yes,female,31.0,0,0,21.0,S
2,no,male,,0,0,0.0,S
2,yes,female,12.0,0,0,15.75,S
2,yes,female,40.0,0,0,15.75,S
2,yes,female,32.5,0,0,13.0,S
2,no,male,27.0,1,0,26.0,S
2,yes,female,29.0,1,0,26.0,S
2,yes,male,2.0,1,1,23.0,S
2,yes,female,4.0,1,1,23.0,S
2,yes,female,29.0,0,2,23.0,S
2,yes,female,0.9167,1,2,27.75,S
2,yes,female,5.0,1,2,27.75,S
2,no,male,36.0,1,2,27.75,S
2,yes,female,33.0,1,2,27.75,S
2,no,male,66.0,0,0,10.5,S
2,no,male,,0,0,12.875,S
2,yes,male,31.0,0,0,13.0,S
2,yes,male,,0,0,13.0,S
2,yes,female,26.0,0,0,13.5,S
2,no,female,24.0,0,0,13.0,S
3,no,male,42.0,0,0,7.55,S
3,no,male,13.0,0,2,20.25,S
3,no,male,16.0,1,1,20.25,S
3,yes,female,35.0,1,1,20.25,S
3,yes,female,16.0,0,0,7.65,S
3,yes,male,25.0,0,0,7.65,S
3,yes,male,20.0,0,0,7.925,S
3,yes,female,18.0,0,0,7.2292,C
3,no,male,30.0,0,0,7.25,S
3,no,male,26.0,0,0,8.05,S
3,no,female,40.0,1,0,9.475,S
3,yes,male,0.8333,0,1,9.35,S
3,yes,female,18.0,0,1,9.35,S
3,yes,male,26.0,0,0,18.7875,C
3,no,male,26.0,0,0,7.8875,S
3,no,male,20.0,0,0,7.925,S
3,no,male,24.0,0,0,7.05,S
3,no,male,25.0,0,0,7.05,S
3,no,male,35.0,0,0,8.05,S
3,no,male,18.0,0,0,8.3,S
3,no,male,32.0,0,0,22.525,S
3,yes,female,19.0,1,0,7.8542,S
3,no,male,4.0,4,2,31.275,S
3,no,female,6.0,4,2,31.275,S
3,no,female,2.0,4,2,31.275,S
3,yes,female,17.0,4,2,7.925,S
3,no,female,38.0,4,2,7.775,S
3,no,female,9.0,4,2,31.275,S
3,no,female,11.0,4,2,31.275,S
3,no,male,39.0,1,5,31.275,S
3,yes,male,27.0,0,0,7.7958,S
3,no,male,26.0,0,0,7.775,S
3,no,female,39.0,1,5,31.275,S
3,no,male,20.0,0,0,7.8542,S
3,no,male,26.0,0,0,7.8958,S
3,no,male,25.0,1,0,17.8,S
3,no,female,18.0,1,0,17.8,S
3,no,male,24.0,0,0,7.775,S
